insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (1, 'Rosalie', 'Armes', 'rarmes0@bloglines.com', 'Female', 'Dodge', 'Avenger', '2020-06-02', '2022-05-21');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (2, 'Raven', 'Roache', 'rroache1@ed.gov', 'Female', 'BMW', 'Z4', '2017-07-25', '2018-12-17');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (3, 'Leonie', 'Aggett', 'laggett2@bloglovin.com', 'Female', 'Lotus', 'Exige', '2021-05-20', '2020-09-12');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (4, 'Timmy', 'Slateford', 'tslateford3@google.com.au', 'Female', 'Mazda', 'Protege', '2020-03-24', '2021-04-18');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (5, 'Clare', 'Barniss', 'cbarniss4@unc.edu', 'Male', 'Chrysler', 'Concorde', '2021-08-11', '2022-03-15');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (6, 'Jacky', 'Gounin', 'jgounin5@ucsd.edu', 'Male', 'Toyota', 'Corolla', '2021-04-25', '2018-09-14');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (7, 'Lillian', 'Sweetnam', 'lsweetnam6@flavors.me', 'Female', 'Toyota', 'Land Cruiser', '2017-07-18', '2019-03-12');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (8, 'Anne', 'Plimmer', 'aplimmer7@comsenz.com', 'Female', 'Mercedes-Benz', '500SEC', '2022-05-17', '2019-09-09');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (9, 'Carita', 'Cheeke', 'ccheeke8@yellowbook.com', 'Female', 'Toyota', 'Tacoma', '2021-05-18', '2017-09-08');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (10, 'Byrann', 'Fuentes', 'bfuentes9@spotify.com', 'Male', 'Ford', 'F250', '2020-12-26', '2020-11-07');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (11, 'Terri-jo', 'Coghill', 'tcoghilla@disqus.com', 'Female', 'Toyota', 'Camry Solara', '2022-06-13', '2021-05-26');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (12, 'Lena', 'Peakman', 'lpeakmanb@accuweather.com', 'Female', 'Honda', 'Prelude', '2019-11-26', '2020-11-18');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (13, 'Augie', 'Perkinson', 'aperkinsonc@amazonaws.com', 'Male', 'Dodge', 'Ram 1500 Club', '2018-07-21', '2020-09-28');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (14, 'Currie', 'Cranna', 'ccrannad@spiegel.de', 'Agender', 'Mitsubishi', 'Challenger', '2019-01-12', '2018-06-10');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (15, 'Lynnea', 'MacAleese', 'lmacaleesee@cyberchimps.com', 'Female', 'Mercedes-Benz', 'R-Class', '2020-02-09', '2018-02-14');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (16, 'Napoleon', 'McGrah', 'nmcgrahf@qq.com', 'Non-binary', 'Mercedes-Benz', 'W201', '2021-12-03', '2017-10-27');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (17, 'Salomon', 'Hamon', 'shamong@creativecommons.org', 'Male', 'Volvo', 'S40', '2018-04-04', '2021-06-16');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (18, 'Julian', 'Vaskov', 'jvaskovh@bing.com', 'Male', 'Dodge', 'Journey', '2019-01-22', '2019-10-23');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (19, 'Katusha', 'Shmyr', 'kshmyri@elegantthemes.com', 'Female', 'Subaru', 'Brat', '2020-04-07', '2019-06-28');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (20, 'Vaclav', 'Soal', 'vsoalj@fda.gov', 'Male', 'Acura', 'Legend', '2021-06-12', '2017-12-03');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (21, 'Marjorie', 'Bumpus', 'mbumpusk@tripadvisor.com', 'Female', 'Jeep', 'Wrangler', '2020-10-31', '2019-12-18');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (22, 'Tucky', 'Screeton', 'tscreetonl@gmpg.org', 'Bigender', 'Mazda', 'Millenia', '2022-03-29', '2020-02-16');
insert into car (id, first_name, last_name, email, gender, car_make, car_model, date, return_date) values (23, 'Braden', 'Dumke', 'bdumkem@un.org', 'Male', 'Honda', 'del Sol', '2019-07-04', '2019-09-26');
